country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Belgium,BE,0.507,FALSE,,,,,,,,,
Bulgaria,BG,0.405,FALSE,,,,,,,,,
Czechia,CZ,0.335,FALSE,,,,,,,,,
Denmark,DK,0.512,FALSE,,,,,,,,,
Germany,DE,0.399,FALSE,,,,,,,,,
Estonia,EE,0.427,FALSE,,,,,,,,,
Ireland,IE,0.652,FALSE,,,,,,,,,
Greece,EL,0.445,FALSE,,,,,,,,,
Spain,ES,0.526,FALSE,,,,,,,,,
France,FR,0.534,FALSE,,,,,,,,,
Croatia,HR,0.394,FALSE,,,,,,,,,
Italy,IT,0.316,FALSE,,,,,,,,,
Cyprus,CY,0.601,FALSE,,,,,,,,,
Latvia,LV,0.450,FALSE,,,,,,,,,
Lithuania,LT,0.582,FALSE,,,,,,,,,
Luxembourg,LU,0.638,FALSE,,,,,,,,,
Hungary,HU,0.323,FALSE,,,,,,,,,
Malta,MT,0.471,FALSE,,,,,,,,,
Netherlands,NL,0.551,FALSE,,,,,,,,,
Austria,AT,0.441,FALSE,,,,,,,,,
Poland,PL,0.457,FALSE,,,,,,,,,
Portugal,PT,0.432,FALSE,,,,,,,,,
Romania,RO,0.232,FALSE,,,,,,,,,
Slovenia,SI,0.431,FALSE,,,,,,,,,
Slovakia,SK,0.372,FALSE,,,,,,,,,
Finland,FI,0.391,FALSE,,,,,,,,,
Sweden,SE,0.544,FALSE,,,,,,,,,
